"index	Startup Name",Industry,Anupam Mittal Investment Amount,
2,Heart up my Sleeves,Beauty/Fashion,12.5
9,Cos IQ,Beauty/Fashion,25
12,Revamp Moto,Electrical Vehicles,50
15,Skippi Ice Pops,Food,20
22,Vivalyf Innovations,Medical,28
28,Meatyour,Food,10
31,ARRCOAT Surface Textures,Manufacturing,50
35,LOKA,Technology,13.33
36,Annie,Education,35
37,Carragreen,Manufacturing,25
38,The Yarn Bazaar,Manufacturing,25
44,Cocofit,Food,1.60E-05
45,Bamboo India,Manufacturing,25
48,Let's Try,Food,22.5
49,Find Your Kicks India,Beauty/Fashion,10
63,IN A CAN,Food,20
66,The Quirky Naari,Beauty/Fashion,17.5
67,Hair Originals,Beauty/Fashion,20
75,The Sass Bar,Beauty/Fashion,25
78,PawsIndia,Animal/Pets,50
79,Sunfox Technologies,Medical,20
85,Watt Technovations,Medical,0.0002525
108,Tweek Labs,Sports,20
114,Jain Shikanji,Food,10
