"index	Startup Name",Industry,Peyush Investment Amount,
22,Vivalyf Innovations,Medical,28
25,Ariro,Manufacturing,25
27,Nuutjob,Beauty/Fashion,8.33
28,Meatyour,Food,10
29,EventBeep,Education,10
35,LOKA,Technology,13.33
36,Annie,Education,35
37,Carragreen,Manufacturing,25
38,The Yarn Bazaar,Manufacturing,25
43,PNT,Technology,25
49,Find Your Kicks India,Beauty/Fashion,10
50,Aas Vidyalaya,Education,50
52,RoadBounce,Technology,80
58,WeSTOCK,Animal/Pets,15
61,The State Plate,Food,40
63,IN A CAN,Food,20
65,Sid07 Designs,Hardware,25
67,Hair Originals,Beauty/Fashion,20
76,KG Agrotech,Hardware,10
79,Sunfox Technologies,Medical,20
81,Isak Fragrances,Beauty/Fashion,50
85,Watt Technovations,Medical,0.0002525
87,Insurance Samadhan,Services,100
88,Humpy A2,Food,33.33
90,Gold Safe Solutions,Manufacturing,16.66
108,Tweek Labs,Sports,20
109,Proxgy,Technology,50
119,Store My Goods,Services,25
