"index	Startup Name",Industry,Vineeta Investment Amount,
0,BluePine Foods,Food,25
1,Booz Scooters,Electrical Vehicles,20
2,Heart up my Sleeves,Beauty/Fashion,12.5
8,NOCD,Food,20
9,Cos IQ,Beauty/Fashion,25
15,Skippi Ice Pops,Food,20
64,Get-A-Whey,Food,33.33
66,The Quirky Naari,Beauty/Fashion,17.5
79,Sunfox Technologies,Medical,20
88,Humpy A2,Food,33.33
90,Gold Safe Solutions,Manufacturing,16.66
91,Wakao Foods,Food,25
95,Kabaddi Adda,Sports,40
110,Nomad Food Project,Food,10
114,Jain Shikanji,Food,10
117,SneaKare,Beauty/Fashion,7
